Category,Value,Department,Staff Count
About Us,Admissions            For Indian Candidates         Experience DSVV         Program Structure         How To Apply?         Student Life (New Student)         Frequently Asked Questions (FAQ’s)         Advertising Media             For International Candidates         International         Apply Now         Study In India             For PhD Admissions         PhD Notifications         Apply Now                For Indian Candidates           Experience DSVV    Program Structure    How To Apply?   Student Life (New Student)   Frequently Asked Questions (FAQ's)   Advertising Media         For International Candidates         International    Apply Now    Study in India         For PhD Admissions         PhD Notifications    Apply Now,,
About Us,About DSVV               PATRON FOUNDER                CHANCELLOR & HIS MESSAGE                SHANTIKUNJ - THE PARENT INSTITUTION                INFRASTRUCTURE                      							ESTABLISHMENT						                     							VISION & MISSION						                     							GOVERNANCE,,
About Us,━  Department of Ayurveda & Holistic Health,,
About Us,"Schools, Faculties & Departments",,
About Us,━   Department of Indian History and Culture,,
About Us,━  Faculty of Rural Studies and Sustainability,,
About Us,Dean Of Schools,,
About Us,Follow Us,,
About Us,━  Faculty of Music & Indian Culture,,
About Us,━  Department of Hindi,,
About Us,Faculty Development Program,,
About Us,– Library,,
About Us,━   Department of Education,,
About Us,Advertising Media,,
About Us,Evaluation System,,
About Us,Students Corner,,
About Us,"Timings:  10:00 AM to 05:00 PM (Mon. to Sat.)General Enquiry : +91-9720107192General Email  : info@dsvv.ac.inAdmissions  Enquiry : +91-9258369877,+91-9258369612Admissions Email : admissions@dsvv.ac.in",,
About Us,CAREERS  / JOB VACANCIES,,
About Us,Aims & Objectives,,
About Us,CHANCELLOR & HIS MESSAGE,,
About Us,Research Papers,,
About Us,News & Notices Quick Links,,
About Us,GOVERNANCE,,
About Us,"To create International Partnerships for various educational, and cultural exchange opportunities.",,
About Us,Program Structure,,
About Us,4. To conduct the admission procedures for international applicants,,
About Us,Admission Information,,
About Us,– Club Registration,,
About Us,1. To liaise with partner universities,,
About Us,List of Schools,,
About Us,━  Department of Medicinal & Aromatic Plants Sciences,,
About Us,Important Links,,
About Us,CAMPUS / WORKSHOPS / SEMINARS,,
About Us,INFRASTRUCTURE,,
About Us,Student Life (New Student),,
About Us,5. To coordinate international students with their academic pursuits,,
About Us,━   Department of Psychology,,
About Us,To establish new relations in the form of Memorandum of Understandings with various global Institutions and to strengthen the existing ties.,,
About Us,━   Department of Rural Studies and Sustainability,,
About Us,PhD Notifications,,
About Us,For PhD Admissions,,
About Us,━  Faculty of Yoga & Health,,
About Us,What We Do,,
About Us,National Academic Depository (NAD),,
About Us,– Exam Schedule,,
About Us,Blogs,,
About Us,– Evaluation System,,
About Us,Connect with Us,,
About Us,– Back Exam Schedule,,
About Us,━   Department of English,,
About Us,Ph.D,,
About Us,ESTABLISHMENT,,
About Us,Regional Office (NCTE),,
About Us,Library,,
About Us,HIGHLIGHTS,,
About Us,The IRO coordinates bilateral research and academic programmes of the centres/departments of Dev Sanskriti Vishwavidyalaya with overseas Institutions/Universities through Memorandum of Understanding (MoU).,,
About Us,DOWNLOADS,,
About Us,About Us,,
About Us,RESEARCH,,
About Us,Internship,,
About Us,Experience DSVV,,
About Us,– Syllabus,,
About Us,SPORTS,,
About Us,Nodal Officer for SWAYAM,,
About Us,"The Centre also conducts foreign language courses such as German, French and Japanese for students, researchers and faculty members to help to gain much proficiency in the language for higher studies or job opportunities in the respective countries. The Centre organizes special lectures and seminars by professors/experts from various foreign Universities/Institutions. These talks are very much essential to take up the innovations, research development, to modify or eliminate the existing old technologies. Guidelines to higher education with funding facilities in different countries are also given through these talks. The centre invites prominent visitors from various foreign Universities/Institutions to DSVV to discuss future collaboration. The international collaboration activities are made through these visits to discuss the collaboration possibilities of strengthening the bilateral academic and research cooperation. The centre does the pre-counselling work for admission of students under Foreign Nationals (FN), Non-Resident Indians (NRI), People of Indian Origin (PIO) and Children of Indian Workers in Gulf Countries (CIWGC) categories to Undergraduate and Postgraduate programs.",,
About Us,International,,
About Us,– Training & Placement,,
About Us,"━ Department of Philosophy, Religious Studies and Divinity",,
About Us,Downloads,,
About Us,MISSION,,
About Us,To provide a perfect ambience for our International students to receive the contemporary education with the experience of spiritual transformation.,,
Admissions,━   Department of Journalism And Mass Communication,,
Admissions,Policies,,
Admissions,School of Indology,,
Admissions,"Students Corner         Student Services             – Library– Academic calendar– Syllabus– Training & Placement– Internship– Yugrishi Student Portal– Club Registration– INTERNSHIP @DSVV                Exam Cell            – Evaluation System– Exam Results– Exam Schedule– Back Exam Schedule             – Library     – Academic calendar     – Syllabus     – Training & Placement     – Internship     – Yugrishi Student Portal     – Club Registration     – INTERNSHIP @DSVV         List of Schools         School of Biological Sciences and Sustainability                  Faculty of Biological Sciences  ━  Department of Medicinal & Aromatic Plants Sciences        Faculty of Rural Studies and Sustainability  ━   Department of Rural Studies and Sustainability          School of Humanities, Social Sciences and Foundation Courses                 Faculty of Humanities And Social Sciences  ━   Department of English━   Department of Education━   Department of Psychology        Faculty of Foundation Courses  ━   Department of Life Management━ Department of Oriental Studies, Religious Studies and Philosophy━   Department of Scientific Spirituality          School of Indology                 Faculty of Yoga and Health  ━  Department of Yogic Science and Human Consciousness ━  Department of Complimentary and Alternative Medicines━  Department of Ayurveda & Holistic Health        Faculty of Indian Languages  ━  Department of Vedic Studies and Sanskrit━  Department of Hindi        Faculty of Music and Indian Culture  ━   Department of Indian History and Culture━  Department of Indian Classical Music          School of Technology, Communication and Management                  Faculty of Technology and Management  ━   Department of Computer Science━   Department of Mathematics━   Department of Tourism Management        Faculty of Communication  ━   Department of Journalism And Mass Communication━   Department of Animation And Visual Effects                Important Links     Nodal Officer for SWAYAM     Faculty Development Program",,
Admissions,NEP 2020     NAD Cell     National Academic Depository (NAD)     AQAR 2018-19     NAAC      NAAC SSR     NIRF DSR     NCTE official Website     Regional Office (NCTE)     Website Policies     Nodal Officer for SWAYAM,,
Admissions,"July 10-11, 2024 Interviews: Post graduation & Diploma Courses(Present on any one day)",,
Admissions,Experience DSVV  Program Structure  Student's Life(New Student)  NEP 2020   Frequently Asked Questions  Prospectus 2024  Admissions closed,,
Admissions,Study In India,,
Admissions,━   Department of Environmental Sciences━  Department of Medicinal & Aromatic Plants Sciences,,
Admissions,"If the number of candidates appearing in a center is less than 25, then examination in that center may be cancelled.",,
Admissions,High School Marksheet: 10th Class Marksheet,,
Admissions,Youtube      Facebook-f      X-twitter      Instagram,,
Admissions,Admissions Closed for the Session 2024-25.Application Form Fees is Non Refundable.,,
Admissions,For Indian Candidates           Experience DSVV    Program Structure    How To Apply?   Student Life (New Student)   Frequently Asked Questions (FAQ's)   Advertising Media,,
Admissions,"HIGHLIGHTS                Library     Training & Placement     Internship     Dean Of Schools     Research Papers     Academic Calendar     Evaluation System     Faculty Development Program     Schools, Faculties & Departments     Internal Quality Assurance Cell (IQAC)     Syllabus            LIST OF SCHOOLS                    School of Indology  ━  Faculty of Yoga & Health━  Faculty of Indian Languages━  Faculty of Music & Indian Culture        School of Humanities, Social Sciences and Foundation Courses  ━  Faculty of Humanities & Social Sciences━  Faculty of Foundation Courses         School of Technology, Communication and Management   ━  Faculty of Technology & Management━  Faculty of Communication        School of Biological Sciences and Sustainability   ━  Faculty of Biological Sciences━  Faculty of Rural Studies and Sustainability       Department of Career Support, Guidance and Progression (CSGP)         							LIST OF FACULTIES						                   Faculty of Yoga and Health  ━  Department of Yogic Science and Human Consciousness ━  Department of Complimentary and Alternative Medicines━  Department of Ayurveda & Holistic Health        Faculty of Indian Languages  ━  Department of Vedic Studies and Sanskrit━  Department of Hindi        Faculty of Music and Indian Culture  ━   Department of Indian History and Culture━  Department of Indian Classical Music        Faculty of Technology and Management  ━   Department of Computer Science━   Department of Mathematics━   Department of Tourism Management        Faculty of Communication  ━   Department of Journalism And Mass Communication━   Department of Animation And Visual Effects        Faculty of Humanities And Social Sciences  ━   Department of English━   Department of Education━   Department of Psychology        Faculty of Foundation Courses  ━   Department of Life Management━ Department of Philosophy, Religious Studies and Divinity━   Department of Scientific Spirituality        Faculty of Biological Sciences  ━   Department of Environmental Sciences━  Department of Medicinal & Aromatic Plants Sciences        Faculty of Rural Studies and Sustainability  ━   Department of Rural Studies and Sustainability           							IMPORTANT LINKS						               NEP 2020     NAD Cell     National Academic Depository (NAD)     AQAR 2018-19     NAAC      NAAC SSR     NIRF DSR     NCTE official Website     Regional Office (NCTE)     Website Policies     Nodal Officer for SWAYAM                    Students Corner         Student Services             – Library– Academic calendar– Syllabus– Training & Placement– Internship– Yugrishi Student Portal– Club Registration– INTERNSHIP @DSVV                Exam Cell            – Evaluation System– Exam Results– Exam Schedule– Back Exam Schedule             – Library     – Academic calendar     – Syllabus     – Training & Placement     – Internship     – Yugrishi Student Portal     – Club Registration     – INTERNSHIP @DSVV         List of Schools         School of Biological Sciences and Sustainability                  Faculty of Biological Sciences  ━  Department of Medicinal & Aromatic Plants Sciences        Faculty of Rural Studies and Sustainability  ━   Department of Rural Studies and Sustainability          School of Humanities, Social Sciences and Foundation Courses                 Faculty of Humanities And Social Sciences  ━   Department of English━   Department of Education━   Department of Psychology        Faculty of Foundation Courses  ━   Department of Life Management━ Department of Oriental Studies, Religious Studies and Philosophy━   Department of Scientific Spirituality          School of Indology                 Faculty of Yoga and Health  ━  Department of Yogic Science and Human Consciousness ━  Department of Complimentary and Alternative Medicines━  Department of Ayurveda & Holistic Health        Faculty of Indian Languages  ━  Department of Vedic Studies and Sanskrit━  Department of Hindi        Faculty of Music and Indian Culture  ━   Department of Indian History and Culture━  Department of Indian Classical Music          School of Technology, Communication and Management                  Faculty of Technology and Management  ━   Department of Computer Science━   Department of Mathematics━   Department of Tourism Management        Faculty of Communication  ━   Department of Journalism And Mass Communication━   Department of Animation And Visual Effects                Important Links     Nodal Officer for SWAYAM     Faculty Development Program",,
Admissions,"List of Schools         School of Biological Sciences and Sustainability                  Faculty of Biological Sciences  ━  Department of Medicinal & Aromatic Plants Sciences        Faculty of Rural Studies and Sustainability  ━   Department of Rural Studies and Sustainability          School of Humanities, Social Sciences and Foundation Courses                 Faculty of Humanities And Social Sciences  ━   Department of English━   Department of Education━   Department of Psychology        Faculty of Foundation Courses  ━   Department of Life Management━ Department of Oriental Studies, Religious Studies and Philosophy━   Department of Scientific Spirituality          School of Indology                 Faculty of Yoga and Health  ━  Department of Yogic Science and Human Consciousness ━  Department of Complimentary and Alternative Medicines━  Department of Ayurveda & Holistic Health        Faculty of Indian Languages  ━  Department of Vedic Studies and Sanskrit━  Department of Hindi        Faculty of Music and Indian Culture  ━   Department of Indian History and Culture━  Department of Indian Classical Music          School of Technology, Communication and Management                  Faculty of Technology and Management  ━   Department of Computer Science━   Department of Mathematics━   Department of Tourism Management        Faculty of Communication  ━   Department of Journalism And Mass Communication━   Department of Animation And Visual Effects",,
Admissions,"Important Documents for Admission Make sure to gather and submit the following documents for your admission application:  High School Marksheet: 10th Class Marksheet Senior Secondary Marksheet: 12th Class Marksheet. Graduation Marksheet:Graduation Marksheet (if applying for master’s Program). Extra- curricular Certificates: NSS, NCC, Scout & Guide, BSGP or any other Sports Certificate. Caste Certificate: Caste Certificate (if applicable other than general) Photo Identification Document:Any One of the list: 1. Voter ID 2. Aadhaar Card 3. Passport Size Photgraph: Passport Photograpgh Specifications –                                   1. Size of photo: 2 x 2 inch, 35 x 45 mm or 35 x 35 mm (5 x 5 cm, 3.5 x 4.5 cm, 3.5 x 3.5 cm).2. Color of background: white or off-white (preferably). 3. Candidate has to look towards the camera. Tilted head is not allowed. 4. Profile or three quarter photo is not allowed. 5. Recency: Taken in the last 6 months. 6. Smile: No smile. Only neutral expression. 7. Eyes: Open and looking directly at camera. 8. Glasses: Only prescription glasses are permitted. 9. File size: 10KB to 300KB.   10. Attire, clothing,   dress code: Casual or professional preferred. 11. Beard: Optional.  Additional Required Documents: Any other documents specified by the institution, such as portfolio samples for art programs or language proficiency test scores for international students.",,
Admissions,c. Brahmavarchas Shodh Sansthan: Prayojan aur Prayas,,
Admissions,OFF CAMPUS NEWS,,
Admissions,"Academics        HIGHLIGHTS                Library     Training & Placement     Internship     Dean Of Schools     Research Papers     Academic Calendar     Evaluation System     Faculty Development Program     Schools, Faculties & Departments     Internal Quality Assurance Cell (IQAC)     Syllabus            LIST OF SCHOOLS                    School of Indology  ━  Faculty of Yoga & Health━  Faculty of Indian Languages━  Faculty of Music & Indian Culture        School of Humanities, Social Sciences and Foundation Courses  ━  Faculty of Humanities & Social Sciences━  Faculty of Foundation Courses         School of Technology, Communication and Management   ━  Faculty of Technology & Management━  Faculty of Communication        School of Biological Sciences and Sustainability   ━  Faculty of Biological Sciences━  Faculty of Rural Studies and Sustainability       Department of Career Support, Guidance and Progression (CSGP)         							LIST OF FACULTIES						                   Faculty of Yoga and Health  ━  Department of Yogic Science and Human Consciousness ━  Department of Complimentary and Alternative Medicines━  Department of Ayurveda & Holistic Health        Faculty of Indian Languages  ━  Department of Vedic Studies and Sanskrit━  Department of Hindi        Faculty of Music and Indian Culture  ━   Department of Indian History and Culture━  Department of Indian Classical Music        Faculty of Technology and Management  ━   Department of Computer Science━   Department of Mathematics━   Department of Tourism Management        Faculty of Communication  ━   Department of Journalism And Mass Communication━   Department of Animation And Visual Effects        Faculty of Humanities And Social Sciences  ━   Department of English━   Department of Education━   Department of Psychology        Faculty of Foundation Courses  ━   Department of Life Management━ Department of Philosophy, Religious Studies and Divinity━   Department of Scientific Spirituality        Faculty of Biological Sciences  ━   Department of Environmental Sciences━  Department of Medicinal & Aromatic Plants Sciences        Faculty of Rural Studies and Sustainability  ━   Department of Rural Studies and Sustainability           							IMPORTANT LINKS						               NEP 2020     NAD Cell     National Academic Depository (NAD)     AQAR 2018-19     NAAC      NAAC SSR     NIRF DSR     NCTE official Website     Regional Office (NCTE)     Website Policies     Nodal Officer for SWAYAM                    Students Corner         Student Services             – Library– Academic calendar– Syllabus– Training & Placement– Internship– Yugrishi Student Portal– Club Registration– INTERNSHIP @DSVV                Exam Cell            – Evaluation System– Exam Results– Exam Schedule– Back Exam Schedule             – Library     – Academic calendar     – Syllabus     – Training & Placement     – Internship     – Yugrishi Student Portal     – Club Registration     – INTERNSHIP @DSVV         List of Schools         School of Biological Sciences and Sustainability                  Faculty of Biological Sciences  ━  Department of Medicinal & Aromatic Plants Sciences        Faculty of Rural Studies and Sustainability  ━   Department of Rural Studies and Sustainability          School of Humanities, Social Sciences and Foundation Courses                 Faculty of Humanities And Social Sciences  ━   Department of English━   Department of Education━   Department of Psychology        Faculty of Foundation Courses  ━   Department of Life Management━ Department of Oriental Studies, Religious Studies and Philosophy━   Department of Scientific Spirituality          School of Indology                 Faculty of Yoga and Health  ━  Department of Yogic Science and Human Consciousness ━  Department of Complimentary and Alternative Medicines━  Department of Ayurveda & Holistic Health        Faculty of Indian Languages  ━  Department of Vedic Studies and Sanskrit━  Department of Hindi        Faculty of Music and Indian Culture  ━   Department of Indian History and Culture━  Department of Indian Classical Music          School of Technology, Communication and Management                  Faculty of Technology and Management  ━   Department of Computer Science━   Department of Mathematics━   Department of Tourism Management        Faculty of Communication  ━   Department of Journalism And Mass Communication━   Department of Animation And Visual Effects                Important Links     Nodal Officer for SWAYAM     Faculty Development Program",,
Admissions,Faculty of Technology and Management,,
Admissions,Apply Now,,
Admissions,NAAC Cycle 2         NAAC SSR 2024         IQAC CELL         AQAR,,
Admissions,Student's Life(New Student),,
Admissions,NCTE OFFICIAL WEBSITE,,
Admissions,"HIGHLIGHTS                Library     Training & Placement     Internship     Dean Of Schools     Research Papers     Academic Calendar     Evaluation System     Faculty Development Program     Schools, Faculties & Departments     Internal Quality Assurance Cell (IQAC)     Syllabus",,
Admissions,Faculty of Biological Sciences  ━  Department of Medicinal & Aromatic Plants Sciences        Faculty of Rural Studies and Sustainability  ━   Department of Rural Studies and Sustainability,,
Admissions,NAD Cell,,
Admissions,━   Department of Computer Science,,
Admissions,━   Department of Life Management,,
Admissions,– INTERNSHIP @DSVV,,
Admissions,Your Bright Future Starts with,,
Admissions,News & Notices Quick Links                SPORTS     DOWNLOADS     CAMPUS NEWS     OFF CAMPUS NEWS     CAMPUS / WORKSHOPS / SEMINARS,,
Admissions,How To Apply?,,
Admissions,SHANTIKUNJ - THE PARENT INSTITUTION,,
Admissions,About DSVV               PATRON FOUNDER                CHANCELLOR & HIS MESSAGE                SHANTIKUNJ - THE PARENT INSTITUTION                INFRASTRUCTURE                      							ESTABLISHMENT						                     							VISION & MISSION						                     							GOVERNANCE,,
